# x_m;y_m
-71.6000;30.2000
-71.6000;31.0000
-71.6000;31.8000
-71.6000;32.6000
-71.6000;33.4000
-71.6000;34.2000
-71.6000;35.0000
-71.6000;35.8000
-71.6000;36.6000
-71.6000;103.0000
-71.6000;103.8000
-71.6000;104.6000
-71.6000;105.4000
-71.6000;106.2000
-71.6000;107.0000
-71.6000;107.8000
-71.6000;108.6000
-71.6000;109.4000
-71.6000;110.2000
-70.8000;28.6000
-70.8000;29.4000
-70.8000;30.2000
-70.8000;31.0000
-70.8000;31.8000
-70.8000;32.6000
-70.8000;33.4000
-70.8000;34.2000
-70.8000;35.0000
-70.8000;104.6000
-70.8000;105.4000
-70.8000;106.2000
-70.8000;107.0000
-70.8000;107.8000
-70.8000;108.6000
-70.8000;109.4000
-70.8000;110.2000
-70.8000;111.0000
-70.0000;27.8000
-70.0000;28.6000
-70.0000;29.4000
-70.0000;30.2000
-70.0000;31.0000
-70.0000;31.8000
-70.0000;32.6000
-70.0000;33.4000
-70.0000;34.2000
-70.0000;106.2000
-70.0000;107.0000
-70.0000;107.8000
-70.0000;108.6000
-70.0000;109.4000
-70.0000;110.2000
-70.0000;111.0000
-70.0000;111.8000
-69.2000;27.0000
-69.2000;27.8000
-69.2000;28.6000
-69.2000;29.4000
-69.2000;30.2000
-69.2000;31.0000
-69.2000;31.8000
-69.2000;32.6000
-69.2000;107.0000
-69.2000;107.8000
-69.2000;108.6000
-69.2000;109.4000
-69.2000;110.2000
-69.2000;111.0000
-69.2000;111.8000
-69.2000;112.6000
-69.2000;113.4000
-68.4000;25.4000
-68.4000;26.2000
-68.4000;27.0000
-68.4000;27.8000
-68.4000;28.6000
-68.4000;29.4000
-68.4000;30.2000
-68.4000;31.0000
-68.4000;31.8000
-68.4000;108.6000
-68.4000;109.4000
-68.4000;110.2000
-68.4000;111.0000
-68.4000;111.8000
-68.4000;112.6000
-68.4000;113.4000
-68.4000;114.2000
-67.6000;24.6000
-67.6000;25.4000
-67.6000;26.2000
-67.6000;27.0000
-67.6000;27.8000
-67.6000;28.6000
-67.6000;29.4000
-67.6000;30.2000
-67.6000;109.4000
-67.6000;110.2000
-67.6000;111.0000
-67.6000;111.8000
-67.6000;112.6000
-67.6000;113.4000
-67.6000;114.2000
-67.6000;115.0000
-66.8000;23.8000
-66.8000;24.6000
-66.8000;25.4000
-66.8000;26.2000
-66.8000;27.0000
-66.8000;27.8000
-66.8000;28.6000
-66.8000;29.4000
-66.8000;111.0000
-66.8000;111.8000
-66.8000;112.6000
-66.8000;113.4000
-66.8000;114.2000
-66.8000;115.0000
-66.8000;115.8000
-66.8000;116.6000
-66.0000;23.0000
-66.0000;23.8000
-66.0000;24.6000
-66.0000;25.4000
-66.0000;26.2000
-66.0000;27.0000
-66.0000;27.8000
-66.0000;111.8000
-66.0000;112.6000
-66.0000;113.4000
-66.0000;114.2000
-66.0000;115.0000
-66.0000;115.8000
-66.0000;116.6000
-66.0000;117.4000
-65.2000;22.2000
-65.2000;23.0000
-65.2000;23.8000
-65.2000;24.6000
-65.2000;25.4000
-65.2000;26.2000
-65.2000;27.0000
-65.2000;112.6000
-65.2000;113.4000
-65.2000;114.2000
-65.2000;115.0000
-65.2000;115.8000
-65.2000;116.6000
-65.2000;117.4000
-65.2000;118.2000
-64.4000;21.4000
-64.4000;22.2000
-64.4000;23.0000
-64.4000;23.8000
-64.4000;24.6000
-64.4000;25.4000
-64.4000;26.2000
-64.4000;114.2000
-64.4000;115.0000
-64.4000;115.8000
-64.4000;116.6000
-64.4000;117.4000
-64.4000;118.2000
-64.4000;119.0000
-63.6000;20.6000
-63.6000;21.4000
-63.6000;22.2000
-63.6000;23.0000
-63.6000;23.8000
-63.6000;24.6000
-63.6000;25.4000
-63.6000;115.0000
-63.6000;115.8000
-63.6000;116.6000
-63.6000;117.4000
-63.6000;118.2000
-63.6000;119.0000
-63.6000;119.8000
-62.8000;19.8000
-62.8000;20.6000
-62.8000;21.4000
-62.8000;22.2000
-62.8000;23.0000
-62.8000;23.8000
-62.8000;24.6000
-62.8000;115.8000
-62.8000;116.6000
-62.8000;117.4000
-62.8000;118.2000
-62.8000;119.0000
-62.8000;119.8000
-62.8000;120.6000
-62.0000;19.0000
-62.0000;19.8000
-62.0000;20.6000
-62.0000;21.4000
-62.0000;22.2000
-62.0000;23.0000
-62.0000;23.8000
-62.0000;116.6000
-62.0000;117.4000
-62.0000;118.2000
-62.0000;119.0000
-62.0000;119.8000
-62.0000;120.6000
-62.0000;121.4000
-61.2000;18.2000
-61.2000;19.0000
-61.2000;19.8000
-61.2000;20.6000
-61.2000;21.4000
-61.2000;22.2000
-61.2000;117.4000
-61.2000;118.2000
-61.2000;119.0000
-61.2000;119.8000
-61.2000;120.6000
-61.2000;121.4000
-61.2000;122.2000
-60.4000;17.4000
-60.4000;18.2000
-60.4000;19.0000
-60.4000;19.8000
-60.4000;20.6000
-60.4000;21.4000
-60.4000;118.2000
-60.4000;119.0000
-60.4000;119.8000
-60.4000;120.6000
-60.4000;121.4000
-60.4000;122.2000
-60.4000;123.0000
-59.6000;16.6000
-59.6000;17.4000
-59.6000;18.2000
-59.6000;19.0000
-59.6000;19.8000
-59.6000;20.6000
-59.6000;119.0000
-59.6000;119.8000
-59.6000;120.6000
-59.6000;121.4000
-59.6000;122.2000
-59.6000;123.0000
-59.6000;123.8000
-58.8000;15.8000
-58.8000;16.6000
-58.8000;17.4000
-58.8000;18.2000
-58.8000;19.0000
-58.8000;19.8000
-58.8000;119.8000
-58.8000;120.6000
-58.8000;121.4000
-58.8000;122.2000
-58.8000;123.0000
-58.8000;123.8000
-58.8000;124.6000
-58.0000;15.0000
-58.0000;15.8000
-58.0000;16.6000
-58.0000;17.4000
-58.0000;18.2000
-58.0000;19.0000
-58.0000;19.8000
-58.0000;120.6000
-58.0000;121.4000
-58.0000;122.2000
-58.0000;123.0000
-58.0000;123.8000
-58.0000;124.6000
-57.2000;14.2000
-57.2000;15.0000
-57.2000;15.8000
-57.2000;16.6000
-57.2000;17.4000
-57.2000;18.2000
-57.2000;19.0000
-57.2000;121.4000
-57.2000;122.2000
-57.2000;123.0000
-57.2000;123.8000
-57.2000;124.6000
-57.2000;125.4000
-56.4000;13.4000
-56.4000;14.2000
-56.4000;15.0000
-56.4000;15.8000
-56.4000;16.6000
-56.4000;17.4000
-56.4000;18.2000
-56.4000;122.2000
-56.4000;123.0000
-56.4000;123.8000
-56.4000;124.6000
-56.4000;125.4000
-56.4000;126.2000
-55.6000;13.4000
-55.6000;14.2000
-55.6000;15.0000
-55.6000;15.8000
-55.6000;16.6000
-55.6000;17.4000
-55.6000;123.0000
-55.6000;123.8000
-55.6000;124.6000
-55.6000;125.4000
-55.6000;126.2000
-55.6000;127.0000
-54.8000;12.6000
-54.8000;13.4000
-54.8000;14.2000
-54.8000;15.0000
-54.8000;15.8000
-54.8000;16.6000
-54.8000;123.0000
-54.8000;123.8000
-54.8000;124.6000
-54.8000;125.4000
-54.8000;126.2000
-54.8000;127.0000
-54.8000;127.8000
-54.0000;11.8000
-54.0000;12.6000
-54.0000;13.4000
-54.0000;14.2000
-54.0000;15.0000
-54.0000;15.8000
-54.0000;123.8000
-54.0000;124.6000
-54.0000;125.4000
-54.0000;126.2000
-54.0000;127.0000
-54.0000;127.8000
-53.2000;11.8000
-53.2000;12.6000
-53.2000;13.4000
-53.2000;14.2000
-53.2000;15.0000
-53.2000;15.8000
-53.2000;124.6000
-53.2000;125.4000
-53.2000;126.2000
-53.2000;127.0000
-53.2000;127.8000
-53.2000;128.6000
-52.4000;11.0000
-52.4000;11.8000
-52.4000;12.6000
-52.4000;13.4000
-52.4000;14.2000
-52.4000;15.0000
-52.4000;125.4000
-52.4000;126.2000
-52.4000;127.0000
-52.4000;127.8000
-52.4000;128.6000
-52.4000;129.4000
-51.6000;10.2000
-51.6000;11.0000
-51.6000;11.8000
-51.6000;12.6000
-51.6000;13.4000
-51.6000;14.2000
-51.6000;125.4000
-51.6000;126.2000
-51.6000;127.0000
-51.6000;127.8000
-51.6000;128.6000
-51.6000;129.4000
-50.8000;10.2000
-50.8000;11.0000
-50.8000;11.8000
-50.8000;12.6000
-50.8000;13.4000
-50.8000;126.2000
-50.8000;127.0000
-50.8000;127.8000
-50.8000;128.6000
-50.8000;129.4000
-50.8000;130.2000
-50.0000;9.4000
-50.0000;10.2000
-50.0000;11.0000
-50.0000;11.8000
-50.0000;12.6000
-50.0000;13.4000
-50.0000;127.0000
-50.0000;127.8000
-50.0000;128.6000
-50.0000;129.4000
-50.0000;130.2000
-50.0000;131.0000
-49.2000;8.6000
-49.2000;9.4000
-49.2000;10.2000
-49.2000;11.0000
-49.2000;11.8000
-49.2000;12.6000
-49.2000;127.0000
-49.2000;127.8000
-49.2000;128.6000
-49.2000;129.4000
-49.2000;130.2000
-49.2000;131.0000
-48.4000;8.6000
-48.4000;9.4000
-48.4000;10.2000
-48.4000;11.0000
-48.4000;11.8000
-48.4000;127.8000
-48.4000;128.6000
-48.4000;129.4000
-48.4000;130.2000
-48.4000;131.0000
-48.4000;131.8000
-47.6000;7.8000
-47.6000;8.6000
-47.6000;9.4000
-47.6000;10.2000
-47.6000;11.0000
-47.6000;11.8000
-47.6000;128.6000
-47.6000;129.4000
-47.6000;130.2000
-47.6000;131.0000
-47.6000;131.8000
-46.8000;7.8000
-46.8000;8.6000
-46.8000;9.4000
-46.8000;10.2000
-46.8000;11.0000
-46.8000;128.6000
-46.8000;129.4000
-46.8000;130.2000
-46.8000;131.0000
-46.8000;131.8000
-46.8000;132.6000
-46.0000;7.0000
-46.0000;7.8000
-46.0000;8.6000
-46.0000;9.4000
-46.0000;10.2000
-46.0000;11.0000
-46.0000;129.4000
-46.0000;130.2000
-46.0000;131.0000
-46.0000;131.8000
-46.0000;132.6000
-45.2000;6.2000
-45.2000;7.0000
-45.2000;7.8000
-45.2000;8.6000
-45.2000;9.4000
-45.2000;10.2000
-45.2000;130.2000
-45.2000;131.0000
-45.2000;131.8000
-45.2000;132.6000
-45.2000;133.4000
-44.4000;6.2000
-44.4000;7.0000
-44.4000;7.8000
-44.4000;8.6000
-44.4000;9.4000
-44.4000;130.2000
-44.4000;131.0000
-44.4000;131.8000
-44.4000;132.6000
-44.4000;133.4000
-44.4000;134.2000
-43.6000;5.4000
-43.6000;6.2000
-43.6000;7.0000
-43.6000;7.8000
-43.6000;8.6000
-43.6000;9.4000
-43.6000;131.0000
-43.6000;131.8000
-43.6000;132.6000
-43.6000;133.4000
-43.6000;134.2000
-42.8000;5.4000
-42.8000;6.2000
-42.8000;7.0000
-42.8000;7.8000
-42.8000;8.6000
-42.8000;131.0000
-42.8000;131.8000
-42.8000;132.6000
-42.8000;133.4000
-42.8000;134.2000
-42.8000;135.0000
-42.0000;5.4000
-42.0000;6.2000
-42.0000;7.0000
-42.0000;7.8000
-42.0000;8.6000
-42.0000;131.8000
-42.0000;132.6000
-42.0000;133.4000
-42.0000;134.2000
-42.0000;135.0000
-41.2000;4.6000
-41.2000;5.4000
-41.2000;6.2000
-41.2000;7.0000
-41.2000;7.8000
-41.2000;131.8000
-41.2000;132.6000
-41.2000;133.4000
-41.2000;134.2000
-41.2000;135.0000
-40.4000;4.6000
-40.4000;5.4000
-40.4000;6.2000
-40.4000;7.0000
-40.4000;7.8000
-40.4000;132.6000
-40.4000;133.4000
-40.4000;134.2000
-40.4000;135.0000
-40.4000;135.8000
-39.6000;3.8000
-39.6000;4.6000
-39.6000;5.4000
-39.6000;6.2000
-39.6000;7.0000
-39.6000;132.6000
-39.6000;133.4000
-39.6000;134.2000
-39.6000;135.0000
-39.6000;135.8000
-38.8000;3.8000
-38.8000;4.6000
-38.8000;5.4000
-38.8000;6.2000
-38.8000;7.0000
-38.8000;132.6000
-38.8000;133.4000
-38.8000;134.2000
-38.8000;135.0000
-38.8000;135.8000
-38.8000;136.6000
-38.0000;3.0000
-38.0000;3.8000
-38.0000;4.6000
-38.0000;5.4000
-38.0000;6.2000
-38.0000;7.0000
-38.0000;133.4000
-38.0000;134.2000
-38.0000;135.0000
-38.0000;135.8000
-38.0000;136.6000
-37.2000;3.0000
-37.2000;3.8000
-37.2000;4.6000
-37.2000;5.4000
-37.2000;6.2000
-37.2000;133.4000
-37.2000;134.2000
-37.2000;135.0000
-37.2000;135.8000
-37.2000;136.6000
-36.4000;3.0000
-36.4000;3.8000
-36.4000;4.6000
-36.4000;5.4000
-36.4000;6.2000
-36.4000;134.2000
-36.4000;135.0000
-36.4000;135.8000
-36.4000;136.6000
-36.4000;137.4000
-35.6000;2.2000
-35.6000;3.0000
-35.6000;3.8000
-35.6000;4.6000
-35.6000;5.4000
-35.6000;134.2000
-35.6000;135.0000
-35.6000;135.8000
-35.6000;136.6000
-35.6000;137.4000
-34.8000;2.2000
-34.8000;3.0000
-34.8000;3.8000
-34.8000;4.6000
-34.8000;5.4000
-34.8000;134.2000
-34.8000;135.0000
-34.8000;135.8000
-34.8000;136.6000
-34.8000;137.4000
-34.8000;138.2000
-34.0000;2.2000
-34.0000;3.0000
-34.0000;3.8000
-34.0000;4.6000
-34.0000;5.4000
-34.0000;135.0000
-34.0000;135.8000
-34.0000;136.6000
-34.0000;137.4000
-34.0000;138.2000
-33.2000;1.4000
-33.2000;2.2000
-33.2000;3.0000
-33.2000;3.8000
-33.2000;4.6000
-33.2000;135.0000
-33.2000;135.8000
-33.2000;136.6000
-33.2000;137.4000
-33.2000;138.2000
-32.4000;1.4000
-32.4000;2.2000
-32.4000;3.0000
-32.4000;3.8000
-32.4000;4.6000
-32.4000;135.0000
-32.4000;135.8000
-32.4000;136.6000
-32.4000;137.4000
-32.4000;138.2000
-31.6000;1.4000
-31.6000;2.2000
-31.6000;3.0000
-31.6000;3.8000
-31.6000;4.6000
-31.6000;135.8000
-31.6000;136.6000
-31.6000;137.4000
-31.6000;138.2000
-31.6000;139.0000
-30.8000;0.6000
-30.8000;1.4000
-30.8000;2.2000
-30.8000;3.0000
-30.8000;3.8000
-30.8000;135.8000
-30.8000;136.6000
-30.8000;137.4000
-30.8000;138.2000
-30.8000;139.0000
-30.0000;0.6000
-30.0000;1.4000
-30.0000;2.2000
-30.0000;3.0000
-30.0000;3.8000
-30.0000;135.8000
-30.0000;136.6000
-30.0000;137.4000
-30.0000;138.2000
-30.0000;139.0000
-29.2000;0.6000
-29.2000;1.4000
-29.2000;2.2000
-29.2000;3.0000
-29.2000;3.8000
-29.2000;136.6000
-29.2000;137.4000
-29.2000;138.2000
-29.2000;139.0000
-29.2000;139.8000
-28.4000;0.6000
-28.4000;1.4000
-28.4000;2.2000
-28.4000;3.0000
-28.4000;3.8000
-28.4000;136.6000
-28.4000;137.4000
-28.4000;138.2000
-28.4000;139.0000
-28.4000;139.8000
-27.6000;-0.2000
-27.6000;0.6000
-27.6000;1.4000
-27.6000;2.2000
-27.6000;3.0000
-27.6000;136.6000
-27.6000;137.4000
-27.6000;138.2000
-27.6000;139.0000
-27.6000;139.8000
-26.8000;-0.2000
-26.8000;0.6000
-26.8000;1.4000
-26.8000;2.2000
-26.8000;3.0000
-26.8000;136.6000
-26.8000;137.4000
-26.8000;138.2000
-26.8000;139.0000
-26.8000;139.8000
-26.0000;-0.2000
-26.0000;0.6000
-26.0000;1.4000
-26.0000;2.2000
-26.0000;3.0000
-26.0000;137.4000
-26.0000;138.2000
-26.0000;139.0000
-26.0000;139.8000
-25.2000;-0.2000
-25.2000;0.6000
-25.2000;1.4000
-25.2000;2.2000
-25.2000;3.0000
-25.2000;137.4000
-25.2000;138.2000
-25.2000;139.0000
-25.2000;139.8000
-25.2000;140.6000
-24.4000;-0.2000
-24.4000;0.6000
-24.4000;1.4000
-24.4000;2.2000
-24.4000;3.0000
-24.4000;137.4000
-24.4000;138.2000
-24.4000;139.0000
-24.4000;139.8000
-24.4000;140.6000
-23.6000;-0.2000
-23.6000;0.6000
-23.6000;1.4000
-23.6000;2.2000
-23.6000;137.4000
-23.6000;138.2000
-23.6000;139.0000
-23.6000;139.8000
-23.6000;140.6000
-22.8000;-1.0000
-22.8000;-0.2000
-22.8000;0.6000
-22.8000;1.4000
-22.8000;2.2000
-22.8000;137.4000
-22.8000;138.2000
-22.8000;139.0000
-22.8000;139.8000
-22.8000;140.6000
-22.0000;-1.0000
-22.0000;-0.2000
-22.0000;0.6000
-22.0000;1.4000
-22.0000;2.2000
-22.0000;137.4000
-22.0000;138.2000
-22.0000;139.0000
-22.0000;139.8000
-22.0000;140.6000
-21.2000;-1.0000
-21.2000;-0.2000
-21.2000;0.6000
-21.2000;1.4000
-21.2000;2.2000
-21.2000;138.2000
-21.2000;139.0000
-21.2000;139.8000
-21.2000;140.6000
-20.4000;-1.0000
-20.4000;-0.2000
-20.4000;0.6000
-20.4000;1.4000
-20.4000;2.2000
-20.4000;138.2000
-20.4000;139.0000
-20.4000;139.8000
-20.4000;140.6000
-20.4000;141.4000
-19.6000;-1.0000
-19.6000;-0.2000
-19.6000;0.6000
-19.6000;1.4000
-19.6000;2.2000
-19.6000;138.2000
-19.6000;139.0000
-19.6000;139.8000
-19.6000;140.6000
-19.6000;141.4000
-18.8000;-1.0000
-18.8000;-0.2000
-18.8000;0.6000
-18.8000;1.4000
-18.8000;2.2000
-18.8000;138.2000
-18.8000;139.0000
-18.8000;139.8000
-18.8000;140.6000
-18.8000;141.4000
-18.0000;-1.0000
-18.0000;-0.2000
-18.0000;0.6000
-18.0000;1.4000
-18.0000;2.2000
-18.0000;138.2000
-18.0000;139.0000
-18.0000;139.8000
-18.0000;140.6000
-18.0000;141.4000
-17.2000;-1.0000
-17.2000;-0.2000
-17.2000;0.6000
-17.2000;1.4000
-17.2000;138.2000
